0,1,2,3
1000.000000,100.000000,10.000000,13.823812
1331.000000,121.000000,11.000000,14.928321
1728.000000,144.000000,12.000000,16.175197
2197.000000,169.000000,13.000000,17.551845
2744.000000,196.000000,14.000000,19.041007
3375.000000,225.000000,15.000000,20.621101
4096.000000,256.000000,16.000000,22.266672
4913.000000,289.000000,17.000000,23.948956
5832.000000,324.000000,18.000000,25.636543
6859.000000,361.000000,19.000000,27.296118
8000.000000,400.000000,20.000000,28.893266
9261.000000,441.000000,21.000000,30.393335
10648.000000,484.000000,22.000000,31.762315
12167.000000,529.000000,23.000000,32.967735
13824.000000,576.000000,24.000000,33.979537
15625.000000,625.000000,25.000000,34.770925
17576.000000,676.000000,26.000000,35.319152
19683.000000,729.000000,27.000000,35.606239
21952.000000,784.000000,28.000000,35.619594
24389.000000,841.000000,29.000000,35.352530
27000.000000,900.000000,30.000000,34.804654
29791.000000,961.000000,31.000000,33.982124
32768.000000,1024.000000,32.000000,32.897756
35937.000000,1089.000000,33.000000,31.570992
39304.000000,1156.000000,34.000000,30.027707
42875.000000,1225.000000,35.000000,28.299862
46656.000000,1296.000000,36.000000,26.425018
50653.000000,1369.000000,37.000000,24.445704
54872.000000,1444.000000,38.000000,22.408653
59319.000000,1521.000000,39.000000,20.363925
64000.000000,1600.000000,40.000000,18.363930
68921.000000,1681.000000,41.000000,16.462370
74088.000000,1764.000000,42.000000,14.713117
79507.000000,1849.000000,43.000000,13.169059
85184.000000,1936.000000,44.000000,11.880935
91125.000000,2025.000000,45.000000,10.896169
97336.000000,2116.000000,46.000000,10.257757
103823.000000,2209.000000,47.000000,10.003206
110592.000000,2304.000000,48.000000,10.163562
117649.000000,2401.000000,49.000000,10.762543
125000.000000,2500.000000,50.000000,11.815807
132651.000000,2601.000000,51.000000,13.330364
140608.000000,2704.000000,52.000000,15.304151
148877.000000,2809.000000,53.000000,17.725787
157464.000000,2916.000000,54.000000,20.574515
166375.000000,3025.000000,55.000000,23.820327
175616.000000,3136.000000,56.000000,27.424298
185193.000000,3249.000000,57.000000,31.339094
195112.000000,3364.000000,58.000000,35.509681
205379.000000,3481.000000,59.000000,39.874198
216000.000000,3600.000000,60.000000,44.365001
226981.000000,3721.000000,61.000000,48.909842
238328.000000,3844.000000,62.000000,53.433182
250047.000000,3969.000000,63.000000,57.857593
262144.000000,4096.000000,64.000000,62.105241
274625.000000,4225.000000,65.000000,66.099416
287496.000000,4356.000000,66.000000,69.766069
300763.000000,4489.000000,67.000000,73.035344
314432.000000,4624.000000,68.000000,75.843057
328509.000000,4761.000000,69.000000,78.132105
343000.000000,4900.000000,70.000000,79.853765
357911.000000,5041.000000,71.000000,80.968859
373248.000000,5184.000000,72.000000,81.448763
389017.000000,5329.000000,73.000000,81.276224
405224.000000,5476.000000,74.000000,80.445986
421875.000000,5625.000000,75.000000,78.965182
438976.000000,5776.000000,76.000000,76.853504
456533.000000,5929.000000,77.000000,74.143126
474552.000000,6084.000000,78.000000,70.878386
493039.000000,6241.000000,79.000000,67.115223
512000.000000,6400.000000,80.000000,62.920376
531441.000000,6561.000000,81.000000,58.370361
551368.000000,6724.000000,82.000000,53.550232
571787.000000,6889.000000,83.000000,48.552151
592704.000000,7056.000000,84.000000,43.473796
614125.000000,7225.000000,85.000000,38.416623
636056.000000,7396.000000,86.000000,33.484022
658503.000000,7569.000000,87.000000,28.779401
681472.000000,7744.000000,88.000000,24.404221
704969.000000,7921.000000,89.000000,20.456037
729000.000000,8100.000000,90.000000,17.026572
753571.000000,8281.000000,91.000000,14.199859
778688.000000,8464.000000,92.000000,12.050499
804357.000000,8649.000000,93.000000,10.642058
830584.000000,8836.000000,94.000000,10.025647
857375.000000,9025.000000,95.000000,10.238708
884736.000000,9216.000000,96.000000,11.304037
912673.000000,9409.000000,97.000000,13.229063
941192.000000,9604.000000,98.000000,16.005411
970299.000000,9801.000000,99.000000,19.608744
1000000.000000,10000.000000,100.000000,23.998914
