0,1,2,3,4,5,6,7
0.884745,0.995285,1.099472,1.187979,1.246461,1.252350,1.170487,41.263257
2.414934,2.375591,2.305406,2.196778,2.039527,1.819183,1.516056,116.803008
-0.448177,-0.424909,-0.375989,-0.290247,-0.155831,0.033435,0.259442,80.445986
-0.102833,-0.010926,0.105401,0.246566,0.407629,0.572009,0.699257,24.404221
-0.528705,-0.537373,-0.528147,-0.487402,-0.395960,-0.232528,0.008119,69.766069
-0.586153,-0.632268,-0.680806,-0.723912,-0.742395,-0.696775,-0.525943,10.762543
0.076560,0.184830,0.312150,0.455501,0.605919,0.742985,0.824918,12.050499
-0.594309,-0.651354,-0.725253,-0.826945,-0.980323,-1.243185,-1.751142,13.823812
0.185554,0.300000,0.429924,0.570723,0.711771,0.831322,0.887749,10.025647
0.608297,0.727680,0.848769,0.963269,1.057327,1.107733,1.076241,23.998914
-0.484931,-0.474701,-0.441276,-0.372155,-0.252335,-0.069863,0.165195,80.968859
-0.594102,-0.650535,-0.722040,-0.814461,-0.932616,-1.067222,-1.154250,35.352530
1.097878,1.196685,1.283646,1.349110,1.378833,1.351136,1.233318,55.321296
-0.591967,-0.644805,-0.707032,-0.776532,-0.841785,-0.867750,-0.777266,16.462370
-0.588217,-0.636491,-0.689169,-0.739759,-0.770596,-0.742368,-0.588773,10.003206
-0.594268,-0.651151,-0.724255,-0.822114,-0.957545,-1.141312,-1.342742,32.967735
-0.461453,-0.442660,-0.398959,-0.318684,-0.188889,-0.001473,0.228026,81.276224
-0.590470,-0.641349,-0.699310,-0.760019,-0.808613,-0.807197,-0.683020,11.880935
-0.401309,-0.363934,-0.299211,-0.197747,-0.051177,0.141007,0.353688,74.143126
-0.593797,-0.649575,-0.719108,-0.805892,-0.909062,-1.008331,-1.028589,31.570992
0.787107,0.901663,1.012596,1.110855,1.182172,1.203669,1.139072,34.903096
-0.592933,-0.647203,-0.712797,-0.789792,-0.870440,-0.924030,-0.871512,22.408653
2.234948,2.219731,2.174793,2.092064,1.960699,1.765278,1.484641,111.774623
1.213966,1.304833,1.381148,1.433206,1.446940,1.401242,1.264733,62.796819
-0.594298,-0.651291,-0.724879,-0.824791,-0.968372,-1.181206,-1.468404,27.296118
-0.521423,-0.526610,-0.512754,-0.466340,-0.368899,-0.200945,0.039534,73.035344
-0.363362,-0.316129,-0.240928,-0.129765,0.023284,0.215097,0.416518,67.115223
-0.591040,-0.642638,-0.702129,-0.765914,-0.820193,-0.827856,-0.714435,13.169059
-0.593678,-0.649225,-0.718117,-0.803199,-0.902194,-0.992420,-0.997173,30.027707
0.129300,0.240867,0.369771,0.512183,0.658276,0.786916,0.856334,10.642058
-0.556514,-0.580307,-0.592326,-0.579229,-0.519392,-0.383319,-0.148958,48.909842
-0.583517,-0.627090,-0.670960,-0.706001,-0.711796,-0.649281,-0.463112,13.330364
-0.535355,-0.547350,-0.542634,-0.507528,-0.422213,-0.263636,-0.023297,66.099416
0.027151,0.131757,0.256981,0.400637,0.554688,0.699528,0.793503,14.199859
-0.594046,-0.650350,-0.721444,-0.812622,-0.927291,-1.053212,-1.122835,34.804654
-0.019106,0.081521,0.204185,0.347552,0.504571,0.656547,0.762087,17.026572
