0,1,2,3,4,5,6,7
122987386542487.000000,1194052296529.000000,11592740743.000000,112550881.000000,1092727.000000,10609.000000,103.000000,41.263257
250226879128704.000000,2194972623936.000000,19254145824.000000,168896016.000000,1481544.000000,12996.000000,114.000000,116.803008
12151280273024.000000,164206490176.000000,2219006624.000000,29986576.000000,405224.000000,5476.000000,74.000000,80.445986
40867559636992.000000,464404086784.000000,5277319168.000000,59969536.000000,681472.000000,7744.000000,88.000000,24.404221
5455160701056.000000,82653950016.000000,1252332576.000000,18974736.000000,287496.000000,4356.000000,66.000000,69.766069
678223072849.000000,13841287201.000000,282475249.000000,5764801.000000,117649.000000,2401.000000,49.000000,10.762543
55784660123648.000000,606355001344.000000,6590815232.000000,71639296.000000,778688.000000,8464.000000,92.000000,12.050499
10000000.000000,1000000.000000,100000.000000,10000.000000,1000.000000,100.000000,10.000000,13.823812
64847759419264.000000,689869781056.000000,7339040224.000000,78074896.000000,830584.000000,8836.000000,94.000000,10.025647
100000000000000.000000,1000000000000.000000,10000000000.000000,100000000.000000,1000000.000000,10000.000000,100.000000,23.998914
9095120158391.000000,128100283921.000000,1804229351.000000,25411681.000000,357911.000000,5041.000000,71.000000,80.968859
17249876309.000000,594823321.000000,20511149.000000,707281.000000,24389.000000,841.000000,29.000000,35.352530
140710042265625.000000,1340095640625.000000,12762815625.000000,121550625.000000,1157625.000000,11025.000000,105.000000,55.321296
194754273881.000000,4750104241.000000,115856201.000000,2825761.000000,68921.000000,1681.000000,41.000000,16.462370
506623120463.000000,10779215329.000000,229345007.000000,4879681.000000,103823.000000,2209.000000,47.000000,10.003206
3404825447.000000,148035889.000000,6436343.000000,279841.000000,12167.000000,529.000000,23.000000,32.967735
11047398519097.000000,151334226289.000000,2073071593.000000,28398241.000000,389017.000000,5329.000000,73.000000,81.276224
319277809664.000000,7256313856.000000,164916224.000000,3748096.000000,85184.000000,1936.000000,44.000000,11.880935
16048523266853.000000,208422380089.000000,2706784157.000000,35153041.000000,456533.000000,5929.000000,77.000000,74.143126
42618442977.000000,1291467969.000000,39135393.000000,1185921.000000,35937.000000,1089.000000,33.000000,31.570992
114868566764928.000000,1126162419264.000000,11040808032.000000,108243216.000000,1061208.000000,10404.000000,102.000000,34.903096
114415582592.000000,3010936384.000000,79235168.000000,2085136.000000,54872.000000,1444.000000,38.000000,22.408653
235260548044817.000000,2081951752609.000000,18424351793.000000,163047361.000000,1442897.000000,12769.000000,113.000000,111.774623
150363025899136.000000,1418519112256.000000,13382255776.000000,126247696.000000,1191016.000000,11236.000000,106.000000,62.796819
893871739.000000,47045881.000000,2476099.000000,130321.000000,6859.000000,361.000000,19.000000,27.296118
6060711605323.000000,90458382169.000000,1350125107.000000,20151121.000000,300763.000000,4489.000000,67.000000,73.035344
19203908986159.000000,243087455521.000000,3077056399.000000,38950081.000000,493039.000000,6241.000000,79.000000,67.115223
271818611107.000000,6321363049.000000,147008443.000000,3418801.000000,79507.000000,1849.000000,43.000000,13.169059
52523350144.000000,1544804416.000000,45435424.000000,1336336.000000,39304.000000,1156.000000,34.000000,30.027707
60170087060757.000000,646990183449.000000,6956883693.000000,74805201.000000,804357.000000,8649.000000,93.000000,10.642058
3142742836021.000000,51520374361.000000,844596301.000000,13845841.000000,226981.000000,3721.000000,61.000000,48.909842
897410677851.000000,17596287801.000000,345025251.000000,6765201.000000,132651.000000,2601.000000,51.000000,13.330364
4902227890625.000000,75418890625.000000,1160290625.000000,17850625.000000,274625.000000,4225.000000,65.000000,66.099416
51676101935731.000000,567869252041.000000,6240321451.000000,68574961.000000,753571.000000,8281.000000,91.000000,14.199859
